"poziom_studiow";"forma_studiow";"kod_przedmiotu";"nazwa_przedmiotu";"rodzaj_zajec";"numer_grupy";"prowadzacy";"data";"poczatek";"koniec";"budynek";"nr_sali"
"II Stopnia";"Stacjonarne";"120-ISI-2S-676-IOP";"Agent Systems";"wykład";"1";"dr hab. inż. Jarosław Wąs";"2023-10-02";"9:45";"11:15";"C2";"224"
"II Stopnia";"Stacjonarne";"120-ISI-2S-547-IOP";"Studio projektowe 2";"ćwiczenia projektowe";"1";"dr hab. inż. Radosław Klimek";"2023-10-02";"13:15";"14:45";"B1";"014"
"II Stopnia";"Stacjonarne";"120-ISI-2S-730-IOP";"Obliczenia rozpowszechnione";"wykład";"1";"dr hab. inż. Radosław Klimek";"2023-10-02";"15:00";"16:30";"C2";"429"
"II Stopnia";"Stacjonarne";"120-ISI-2S-676-IOP";"Agent Systems";"ćwiczenia laboratoryjne";"1";"mgr inż. Filip Kamiński";"2023-10-02";"18:30";"20:00";"C2";"315"
"II Stopnia";"Stacjonarne";"120-ISI-2S-786-IOP";"Testowanie i walidacja oprogramowania";"ćwiczenia laboratoryjne";"1";"dr inż. Grzegorz Rogus";"2023-10-03";"8:00";"9:30";"C2";"315"
"II Stopnia";"Stacjonarne";"120-ISI-2S-675-IOP";"Advanced Data Mining";"ćwiczenia projektowe";"1";"dr inż. Mateusz Baran";"2023-10-03";"13:15";"14:45";"B5";"214"
"II Stopnia";"Stacjonarne";"120-ISI-2S-689-IOP";"Bezpieczeństwo systemów informatycznych";"wykład";"1";"dr inż. Marek Zachara";"2023-10-03";"15:00";"16:30";"B1";"010"
"II Stopnia";"Stacjonarne";"440-000-2S-JA";"Specjalistyczny język angielski B2+";"lektorat";"612";"mgr Karolina Pasiut";"2023-10-03";"17:00";"18:30";"";""
"II Stopnia";"Stacjonarne";"120-ISI-2S-786-IOP";"Testowanie i walidacja oprogramowania";"wykład";"1";"dr inż. Grzegorz Rogus";"2023-10-04";"8:00";"9:30";"C2";"429"
"II Stopnia";"Stacjonarne";"120-ISI-2S-730-IOP";"Obliczenia rozpowszechnione";"ćwiczenia projektowe";"1";"dr hab. inż. Radosław Klimek";"2023-10-04";"13:15";"14:45";"C2";"216"
"II Stopnia";"Stacjonarne";"120-INT-xS-213";"Fundamentals of Space Engineering";"wykład";"1";"dr inż. Paweł Zagórski";"2023-10-05";"9:45";"11:15";"C3";"201a"
"II Stopnia";"Stacjonarne";"120-ISI-2S-660-IOP";"Zaawansowane technologie bazodanowe";"wykład";"1";"dr inż. Sebastian Ernst";"2023-10-05";"11:30";"13:00";"C2";"431"
"II Stopnia";"Stacjonarne";"120-INT-xS-213";"Fundamentals of Space Engineering";"ćwiczenia laboratoryjne";"2";"dr inż. Paweł Zagórski";"2023-10-05";"13:15";"14:45";"C3";"201a"
"II Stopnia";"Stacjonarne";"120-ISI-2S-660-IOP";"Zaawansowane technologie bazodanowe";"ćwiczenia laboratoryjne";"1";"dr inż. Sebastian Ernst";"2023-10-06";"11:30";"13:00";"C2";"315"
"II Stopnia";"Stacjonarne";"120-ISI-2S-660-IOP";"Zaawansowane technologie bazodanowe";"ćwiczenia projektowe";"1";"dr inż. Sebastian Ernst";"2023-10-06";"13:15";"14:45";"C2";"431"
"II Stopnia";"Stacjonarne";"120-ISI-2S-676-IOP";"Agent Systems";"wykład";"1";"dr hab. inż. Jarosław Wąs";"2023-10-09";"9:45";"11:15";"C2";"224"
"II Stopnia";"Stacjonarne";"120-ISI-2S-547-IOP";"Studio projektowe 2";"ćwiczenia projektowe";"1";"dr hab. inż. Radosław Klimek";"2023-10-09";"13:15";"14:45";"B1";"014"
"II Stopnia";"Stacjonarne";"120-ISI-2S-852-IOP";"Zaawansowane programowanie systemów mobilnych";"wykład";"1";"dr inż. Paweł Skrzyński";"2023-10-09";"15:00";"16:30";"C2";"429"
"II Stopnia";"Stacjonarne";"120-ISI-2S-676-IOP";"Agent Systems";"ćwiczenia laboratoryjne";"1";"mgr inż. Filip Kamiński";"2023-10-09";"18:30";"20:00";"C2";"315"
"II Stopnia";"Stacjonarne";"120-ISI-2S-786-IOP";"Testowanie i walidacja oprogramowania";"ćwiczenia laboratoryjne";"1";"dr inż. Grzegorz Rogus";"2023-10-10";"8:00";"9:30";"C2";"315"
"II Stopnia";"Stacjonarne";"120-ISI-2S-852-IOP";"Zaawansowane programowanie systemów mobilnych";"ćwiczenia laboratoryjne";"1";"dr inż. Paweł Skrzyński";"2023-10-10";"9:45";"11:15";"C2";"315"
"II Stopnia";"Stacjonarne";"120-ISI-2S-675-IOP";"Advanced Data Mining";"ćwiczenia projektowe";"1";"dr inż. Mateusz Baran";"2023-10-10";"13:15";"14:45";"B5";"214"
"II Stopnia";"Stacjonarne";"440-000-2S-JA";"Specjalistyczny język angielski B2+";"lektorat";"612";"mgr Karolina Pasiut";"2023-10-10";"17:00";"18:30";"";""
"II Stopnia";"Stacjonarne";"120-ISI-2S-786-IOP";"Testowanie i walidacja oprogramowania";"wykład";"1";"dr inż. Grzegorz Rogus";"2023-10-11";"8:00";"9:30";"C2";"429"
"II Stopnia";"Stacjonarne";"120-ISI-2S-689-IOP";"Bezpieczeństwo systemów informatycznych";"ćwiczenia projektowe";"1";"dr inż. Marek Zachara";"2023-10-11";"11:30";"13:00";"B5";"107"
"II Stopnia";"Stacjonarne";"120-INT-xS-213";"Fundamentals of Space Engineering";"wykład";"1";"dr inż. Paweł Zagórski";"2023-10-12";"9:45";"11:15";"C3";"201a"
"II Stopnia";"Stacjonarne";"120-ISI-2S-660-IOP";"Zaawansowane technologie bazodanowe";"wykład";"1";"dr inż. Sebastian Ernst";"2023-10-12";"11:30";"13:00";"C2";"429"
"II Stopnia";"Stacjonarne";"120-INT-xS-213";"Fundamentals of Space Engineering";"ćwiczenia laboratoryjne";"2";"dr inż. Paweł Zagórski";"2023-10-12";"13:15";"14:45";"C3";"201a"
"II Stopnia";"Stacjonarne";"120-ISI-2S-675-IOP";"Advanced Data Mining";"wykład";"1";"dr inż. Mateusz Baran";"2023-10-12";"15:00";"16:30";"C2";"429"
"II Stopnia";"Stacjonarne";"120-ISI-2S-676-IOP";"Agent Systems";"wykład";"1";"dr hab. inż. Jarosław Wąs";"2023-10-16";"9:45";"11:15";"C2";"224"
"II Stopnia";"Stacjonarne";"120-ISI-2S-547-IOP";"Studio projektowe 2";"ćwiczenia projektowe";"1";"dr hab. inż. Radosław Klimek";"2023-10-16";"13:15";"14:45";"B1";"014"
"II Stopnia";"Stacjonarne";"120-ISI-2S-730-IOP";"Obliczenia rozpowszechnione";"wykład";"1";"dr hab. inż. Radosław Klimek";"2023-10-16";"15:00";"16:30";"C2";"429"
"II Stopnia";"Stacjonarne";"120-ISI-2S-676-IOP";"Agent Systems";"ćwiczenia laboratoryjne";"1";"mgr inż. Filip Kamiński";"2023-10-16";"18:30";"20:00";"C2";"315"
"II Stopnia";"Stacjonarne";"120-ISI-2S-786-IOP";"Testowanie i walidacja oprogramowania";"ćwiczenia laboratoryjne";"1";"dr inż. Grzegorz Rogus";"2023-10-17";"8:00";"9:30";"C2";"315"
"II Stopnia";"Stacjonarne";"120-ISI-2S-852-IOP";"Zaawansowane programowanie systemów mobilnych";"ćwiczenia laboratoryjne";"1";"dr inż. Paweł Skrzyński";"2023-10-17";"9:45";"11:15";"C2";"315"
"II Stopnia";"Stacjonarne";"120-ISI-2S-675-IOP";"Advanced Data Mining";"ćwiczenia projektowe";"1";"dr inż. Mateusz Baran";"2023-10-17";"13:15";"14:45";"B5";"214"
"II Stopnia";"Stacjonarne";"120-ISI-2S-689-IOP";"Bezpieczeństwo systemów informatycznych";"wykład";"1";"dr inż. Marek Zachara";"2023-10-17";"15:00";"16:30";"B1";"010"
"II Stopnia";"Stacjonarne";"440-000-2S-JA";"Specjalistyczny język angielski B2+";"lektorat";"612";"mgr Karolina Pasiut";"2023-10-17";"17:00";"18:30";"";""
"II Stopnia";"Stacjonarne";"120-ISI-2S-786-IOP";"Testowanie i walidacja oprogramowania";"wykład";"1";"dr inż. Grzegorz Rogus";"2023-10-18";"8:00";"9:30";"C2";"429"
"II Stopnia";"Stacjonarne";"120-ISI-2S-730-IOP";"Obliczenia rozpowszechnione";"ćwiczenia projektowe";"1";"dr hab. inż. Radosław Klimek";"2023-10-18";"13:15";"14:45";"C2";"216"
"II Stopnia";"Stacjonarne";"120-INT-xS-213";"Fundamentals of Space Engineering";"wykład";"1";"dr inż. Paweł Zagórski";"2023-10-19";"9:45";"11:15";"C3";"201a"
"II Stopnia";"Stacjonarne";"120-ISI-2S-660-IOP";"Zaawansowane technologie bazodanowe";"wykład";"1";"dr inż. Sebastian Ernst";"2023-10-19";"11:30";"13:00";"C2";"429"
"II Stopnia";"Stacjonarne";"120-INT-xS-213";"Fundamentals of Space Engineering";"ćwiczenia laboratoryjne";"2";"dr inż. Paweł Zagórski";"2023-10-19";"13:15";"14:45";"C3";"201a"
"II Stopnia";"Stacjonarne";"120-ISI-2S-675-IOP";"Advanced Data Mining";"wykład";"1";"dr inż. Mateusz Baran";"2023-10-19";"15:00";"16:30";"C2";"429"
"II Stopnia";"Stacjonarne";"120-ISI-2S-660-IOP";"Zaawansowane technologie bazodanowe";"ćwiczenia laboratoryjne";"1";"dr inż. Sebastian Ernst";"2023-10-20";"11:30";"13:00";"C2";"315"
"II Stopnia";"Stacjonarne";"120-ISI-2S-660-IOP";"Zaawansowane technologie bazodanowe";"ćwiczenia projektowe";"1";"dr inż. Sebastian Ernst";"2023-10-20";"13:15";"14:45";"C2";"431"
"II Stopnia";"Stacjonarne";"120-ISI-2S-676-IOP";"Agent Systems";"wykład";"1";"dr hab. inż. Jarosław Wąs";"2023-10-23";"9:45";"11:15";"C2";"224"
"II Stopnia";"Stacjonarne";"120-ISI-2S-547-IOP";"Studio projektowe 2";"ćwiczenia projektowe";"1";"dr hab. inż. Radosław Klimek";"2023-10-23";"13:15";"14:45";"B1";"014"
"II Stopnia";"Stacjonarne";"120-ISI-2S-852-IOP";"Zaawansowane programowanie systemów mobilnych";"wykład";"1";"dr inż. Paweł Skrzyński";"2023-10-23";"15:00";"16:30";"C2";"429"
"II Stopnia";"Stacjonarne";"120-ISI-2S-676-IOP";"Agent Systems";"ćwiczenia laboratoryjne";"1";"mgr inż. Filip Kamiński";"2023-10-23";"18:30";"20:00";"C2";"315"
"II Stopnia";"Stacjonarne";"120-ISI-2S-786-IOP";"Testowanie i walidacja oprogramowania";"ćwiczenia laboratoryjne";"1";"dr inż. Grzegorz Rogus";"2023-10-24";"8:00";"9:30";"C2";"315"
"II Stopnia";"Stacjonarne";"120-ISI-2S-852-IOP";"Zaawansowane programowanie systemów mobilnych";"ćwiczenia laboratoryjne";"1";"dr inż. Paweł Skrzyński";"2023-10-24";"9:45";"11:15";"C2";"315"
"II Stopnia";"Stacjonarne";"120-ISI-2S-675-IOP";"Advanced Data Mining";"ćwiczenia projektowe";"1";"dr inż. Mateusz Baran";"2023-10-24";"13:15";"14:45";"B5";"214"
"II Stopnia";"Stacjonarne";"440-000-2S-JA";"Specjalistyczny język angielski B2+";"lektorat";"612";"mgr Karolina Pasiut";"2023-10-24";"17:00";"18:30";"";""
"II Stopnia";"Stacjonarne";"120-ISI-2S-786-IOP";"Testowanie i walidacja oprogramowania";"wykład";"1";"dr inż. Grzegorz Rogus";"2023-10-25";"8:00";"9:30";"C2";"429"
"II Stopnia";"Stacjonarne";"120-ISI-2S-689-IOP";"Bezpieczeństwo systemów informatycznych";"ćwiczenia projektowe";"1";"dr inż. Marek Zachara";"2023-10-25";"11:30";"13:00";"B5";"107"
"II Stopnia";"Stacjonarne";"120-INT-xS-213";"Fundamentals of Space Engineering";"wykład";"1";"dr inż. Paweł Zagórski";"2023-10-26";"9:45";"11:15";"C3";"201a"
"II Stopnia";"Stacjonarne";"120-ISI-2S-660-IOP";"Zaawansowane technologie bazodanowe";"wykład";"1";"dr inż. Sebastian Ernst";"2023-10-26";"11:30";"13:00";"C2";"429"
"II Stopnia";"Stacjonarne";"120-INT-xS-213";"Fundamentals of Space Engineering";"ćwiczenia laboratoryjne";"2";"dr inż. Paweł Zagórski";"2023-10-26";"13:15";"14:45";"C3";"201a"
"II Stopnia";"Stacjonarne";"120-ISI-2S-675-IOP";"Advanced Data Mining";"wykład";"1";"dr inż. Mateusz Baran";"2023-10-26";"15:00";"16:30";"C2";"429"
"II Stopnia";"Stacjonarne";"120-ISI-2S-676-IOP";"Agent Systems";"wykład";"1";"dr hab. inż. Jarosław Wąs";"2023-10-30";"9:45";"11:15";"C2";"224"
"II Stopnia";"Stacjonarne";"120-ISI-2S-547-IOP";"Studio projektowe 2";"ćwiczenia projektowe";"1";"dr hab. inż. Radosław Klimek";"2023-10-30";"13:15";"14:45";"B1";"014"
"II Stopnia";"Stacjonarne";"120-ISI-2S-730-IOP";"Obliczenia rozpowszechnione";"wykład";"1";"dr hab. inż. Radosław Klimek";"2023-10-30";"15:00";"16:30";"C2";"429"
"II Stopnia";"Stacjonarne";"120-ISI-2S-676-IOP";"Agent Systems";"ćwiczenia laboratoryjne";"1";"mgr inż. Filip Kamiński";"2023-10-30";"18:30";"20:00";"C2";"315"
"II Stopnia";"Stacjonarne";"120-ISI-2S-786-IOP";"Testowanie i walidacja oprogramowania";"ćwiczenia laboratoryjne";"1";"dr inż. Grzegorz Rogus";"2023-10-31";"8:00";"9:30";"C2";"315"
"II Stopnia";"Stacjonarne";"120-ISI-2S-852-IOP";"Zaawansowane programowanie systemów mobilnych";"ćwiczenia laboratoryjne";"1";"dr inż. Paweł Skrzyński";"2023-10-31";"9:45";"11:15";"C2";"315"
"II Stopnia";"Stacjonarne";"120-ISI-2S-675-IOP";"Advanced Data Mining";"ćwiczenia projektowe";"1";"dr inż. Mateusz Baran";"2023-10-31";"13:15";"14:45";"B5";"214"
"II Stopnia";"Stacjonarne";"120-ISI-2S-689-IOP";"Bezpieczeństwo systemów informatycznych";"wykład";"1";"dr inż. Marek Zachara";"2023-10-31";"15:00";"16:30";"B1";"010"
"II Stopnia";"Stacjonarne";"440-000-2S-JA";"Specjalistyczny język angielski B2+";"lektorat";"612";"mgr Karolina Pasiut";"2023-10-31";"17:00";"18:30";"";""
"II Stopnia";"Stacjonarne";"120-ISI-2S-676-IOP";"Agent Systems";"wykład";"1";"dr hab. inż. Jarosław Wąs";"2023-11-06";"9:45";"11:15";"C2";"224"
"II Stopnia";"Stacjonarne";"120-ISI-2S-547-IOP";"Studio projektowe 2";"ćwiczenia projektowe";"1";"dr hab. inż. Radosław Klimek";"2023-11-06";"13:15";"14:45";"B1";"014"
"II Stopnia";"Stacjonarne";"120-ISI-2S-852-IOP";"Zaawansowane programowanie systemów mobilnych";"wykład";"1";"dr inż. Paweł Skrzyński";"2023-11-06";"15:00";"16:30";"C2";"429"
"II Stopnia";"Stacjonarne";"120-ISI-2S-676-IOP";"Agent Systems";"ćwiczenia laboratoryjne";"1";"mgr inż. Filip Kamiński";"2023-11-06";"18:30";"20:00";"C2";"315"
"II Stopnia";"Stacjonarne";"120-ISI-2S-786-IOP";"Testowanie i walidacja oprogramowania";"ćwiczenia laboratoryjne";"1";"dr inż. Grzegorz Rogus";"2023-11-07";"8:00";"9:30";"C2";"315"
"II Stopnia";"Stacjonarne";"120-ISI-2S-852-IOP";"Zaawansowane programowanie systemów mobilnych";"ćwiczenia laboratoryjne";"1";"dr inż. Paweł Skrzyński";"2023-11-07";"9:45";"11:15";"C2";"315"
"II Stopnia";"Stacjonarne";"120-ISI-2S-675-IOP";"Advanced Data Mining";"ćwiczenia projektowe";"1";"dr inż. Mateusz Baran";"2023-11-07";"13:15";"14:45";"B5";"214"
"II Stopnia";"Stacjonarne";"440-000-2S-JA";"Specjalistyczny język angielski B2+";"lektorat";"612";"mgr Karolina Pasiut";"2023-11-07";"17:00";"18:30";"";""
"II Stopnia";"Stacjonarne";"120-ISI-2S-786-IOP";"Testowanie i walidacja oprogramowania";"wykład";"1";"dr inż. Grzegorz Rogus";"2023-11-08";"8:00";"9:30";"C2";"429"
"II Stopnia";"Stacjonarne";"120-ISI-2S-689-IOP";"Bezpieczeństwo systemów informatycznych";"ćwiczenia projektowe";"1";"dr inż. Marek Zachara";"2023-11-08";"11:30";"13:00";"B5";"107"
"II Stopnia";"Stacjonarne";"120-INT-xS-213";"Fundamentals of Space Engineering";"wykład";"1";"dr inż. Paweł Zagórski";"2023-11-09";"9:45";"11:15";"C3";"201a"
"II Stopnia";"Stacjonarne";"120-ISI-2S-660-IOP";"Zaawansowane technologie bazodanowe";"wykład";"1";"dr inż. Sebastian Ernst";"2023-11-09";"11:30";"13:00";"C2";"429"
"II Stopnia";"Stacjonarne";"120-INT-xS-213";"Fundamentals of Space Engineering";"ćwiczenia laboratoryjne";"2";"dr inż. Paweł Zagórski";"2023-11-09";"13:15";"14:45";"C3";"201a"
"II Stopnia";"Stacjonarne";"120-ISI-2S-675-IOP";"Advanced Data Mining";"wykład";"1";"dr inż. Mateusz Baran";"2023-11-09";"15:00";"16:30";"C2";"429"
"II Stopnia";"Stacjonarne";"120-ISI-2S-676-IOP";"Agent Systems";"wykład";"1";"dr hab. inż. Jarosław Wąs";"2023-11-13";"9:45";"11:15";"C2";"224"
"II Stopnia";"Stacjonarne";"120-ISI-2S-547-IOP";"Studio projektowe 2";"ćwiczenia projektowe";"1";"dr hab. inż. Radosław Klimek";"2023-11-13";"13:15";"14:45";"B1";"014"
"II Stopnia";"Stacjonarne";"120-ISI-2S-730-IOP";"Obliczenia rozpowszechnione";"wykład";"1";"dr hab. inż. Radosław Klimek";"2023-11-13";"15:00";"16:30";"C2";"429"
"II Stopnia";"Stacjonarne";"120-ISI-2S-676-IOP";"Agent Systems";"ćwiczenia laboratoryjne";"1";"mgr inż. Filip Kamiński";"2023-11-13";"18:30";"20:00";"C2";"315"
"II Stopnia";"Stacjonarne";"120-ISI-2S-786-IOP";"Testowanie i walidacja oprogramowania";"ćwiczenia laboratoryjne";"1";"dr inż. Grzegorz Rogus";"2023-11-14";"8:00";"9:30";"C2";"315"
"II Stopnia";"Stacjonarne";"120-ISI-2S-852-IOP";"Zaawansowane programowanie systemów mobilnych";"ćwiczenia laboratoryjne";"1";"dr inż. Paweł Skrzyński";"2023-11-14";"9:45";"11:15";"C2";"315"
"II Stopnia";"Stacjonarne";"120-ISI-2S-675-IOP";"Advanced Data Mining";"ćwiczenia projektowe";"1";"dr inż. Mateusz Baran";"2023-11-14";"13:15";"14:45";"B5";"214"
"II Stopnia";"Stacjonarne";"120-ISI-2S-689-IOP";"Bezpieczeństwo systemów informatycznych";"wykład";"1";"dr inż. Marek Zachara";"2023-11-14";"15:00";"16:30";"B1";"010"
"II Stopnia";"Stacjonarne";"440-000-2S-JA";"Specjalistyczny język angielski B2+";"lektorat";"612";"mgr Karolina Pasiut";"2023-11-14";"17:00";"18:30";"";""
"II Stopnia";"Stacjonarne";"120-ISI-2S-786-IOP";"Testowanie i walidacja oprogramowania";"wykład";"1";"dr inż. Grzegorz Rogus";"2023-11-15";"8:00";"9:30";"C2";"429"
"II Stopnia";"Stacjonarne";"120-ISI-2S-730-IOP";"Obliczenia rozpowszechnione";"ćwiczenia projektowe";"1";"dr hab. inż. Radosław Klimek";"2023-11-15";"13:15";"14:45";"C2";"216"
"II Stopnia";"Stacjonarne";"120-INT-xS-213";"Fundamentals of Space Engineering";"wykład";"1";"dr inż. Paweł Zagórski";"2023-11-16";"9:45";"11:15";"C3";"201a"
"II Stopnia";"Stacjonarne";"120-ISI-2S-660-IOP";"Zaawansowane technologie bazodanowe";"wykład";"1";"dr inż. Sebastian Ernst";"2023-11-16";"11:30";"13:00";"C2";"429"
"II Stopnia";"Stacjonarne";"120-INT-xS-213";"Fundamentals of Space Engineering";"ćwiczenia laboratoryjne";"2";"dr inż. Paweł Zagórski";"2023-11-16";"13:15";"14:45";"C3";"201a"
"II Stopnia";"Stacjonarne";"120-ISI-2S-675-IOP";"Advanced Data Mining";"wykład";"1";"dr inż. Mateusz Baran";"2023-11-16";"15:00";"16:30";"C2";"429"
"II Stopnia";"Stacjonarne";"120-ISI-2S-660-IOP";"Zaawansowane technologie bazodanowe";"ćwiczenia laboratoryjne";"1";"dr inż. Sebastian Ernst";"2023-11-17";"11:30";"13:00";"C2";"315"
"II Stopnia";"Stacjonarne";"120-ISI-2S-660-IOP";"Zaawansowane technologie bazodanowe";"ćwiczenia projektowe";"1";"dr inż. Sebastian Ernst";"2023-11-17";"13:15";"14:45";"C2";"431"
"II Stopnia";"Stacjonarne";"120-ISI-2S-676-IOP";"Agent Systems";"wykład";"1";"dr hab. inż. Jarosław Wąs";"2023-11-20";"9:45";"11:15";"C2";"224"
"II Stopnia";"Stacjonarne";"120-ISI-2S-547-IOP";"Studio projektowe 2";"ćwiczenia projektowe";"1";"dr hab. inż. Radosław Klimek";"2023-11-20";"13:15";"14:45";"B1";"014"
"II Stopnia";"Stacjonarne";"120-ISI-2S-852-IOP";"Zaawansowane programowanie systemów mobilnych";"wykład";"1";"dr inż. Sebastian Ernst";"2023-11-20";"15:00";"16:30";"C2";"429"
"II Stopnia";"Stacjonarne";"120-ISI-2S-676-IOP";"Agent Systems";"ćwiczenia projektowe";"1";"mgr inż. Filip Kamiński";"2023-11-20";"18:30";"20:00";"C2";"315"
